GaiaDR3,n_refs,refs,has_rv,classes
506416746316374272,2,"Kos2024, Risbud2025",True,L
506469449854030976,1,Kos2024,False,L
506499862524909056,1,Kos2024,False,L
506508521178818944,1,Kos2024,True,L
506538482870548864,1,Risbud2025,False,T
506538895187192960,1,Risbud2025,True,T
506543396313019136,1,Kos2024,False,L
506547863078957568,1,Kos2024,False,L
506550405700760832,1,Risbud2025,True,T
506706261474566528,1,Risbud2025,False,T
506723819300561024,1,Risbud2025,False,T
506746462368934784,1,Risbud2025,False,T
506769174156772608,1,Risbud2025,True,T
506794359844773120,1,Kos2024,False,L
506833907901969792,1,Kos2024,False,L
506846105608892160,1,Risbud2025,True,L
506849747741320832,1,Risbud2025,False,T
506873176778269696,1,Risbud2025,False,T
506873490321177472,1,Risbud2025,False,T
506876101661268992,2,"Kos2024, Risbud2025",True,T
506878816080454656,1,Risbud2025,False,T
506879980006165120,1,Kos2024,False,L
506885447510110592,1,Kos2024,True,L
506905479238298624,2,"Kos2024, Risbud2025",True,L
506913450697729280,1,Risbud2025,False,L
506918879536304768,1,Risbud2025,False,T
506923415021689984,1,Risbud2025,False,T
506925442246195968,2,"Kos2024, Risbud2025",True,L
506932073676258688,1,Kos2024,True,L
506933413705346048,1,Kos2024,False,L
506943790344758912,1,Risbud2025,True,T
506948703787286784,1,Risbud2025,True,T
506976603888746496,1,Kos2024,False,L
506984983366254976,1,Risbud2025,True,T
506998697207167232,1,Risbud2025,False,T
507043364869048192,1,Risbud2025,True,T
507051508127066496,2,"Kos2024, Risbud2025",False,T
507057658519900416,2,"Kos2024, Risbud2025",True,L
507074254273411584,2,"Kos2024, Risbud2025",False,L
507079889267154432,1,Risbud2025,True,L
507094698314015360,2,"Kos2024, Risbud2025",False,T
507098890202204160,2,"Kos2024, Risbud2025",False,L
507111328427353088,1,Kos2024,True,L
507114386445183872,2,"Kos2024, Risbud2025",True,L
507119162448780160,1,Kos2024,False,L
507137407469627008,1,Risbud2025,True,T
507138953657992192,1,Risbud2025,True,T
507142389631659648,2,"Kos2024, Risbud2025",False,T
507147337433966464,2,"Kos2024, Risbud2025",False,T
507159638221396480,2,"Kos2024, Risbud2025",True,L
507166338370276352,1,Risbud2025,False,T
507181417994329088,2,"Kos2024, Risbud2025",True,L
507188672201008896,2,"Kos2024, Risbud2025",True,L
507197674452368512,2,"Kos2024, Risbud2025",False,L
507202377434774016,2,"Kos2024, Risbud2025",False,L
507213445572226304,2,"Kos2024, Risbud2025",False,L
507215850753919104,1,Risbud2025,True,T
507218599531252992,2,"Kos2024, Risbud2025",False,T
507222619614549120,1,Kos2024,True,L
507233064980992768,2,"Kos2024, Risbud2025",True,L
507236019918418176,2,"Kos2024, Risbud2025",True,L
507238287661091712,1,Kos2024,False,L
